Atribut,N,Sredina,St. dev.,Min,Q1,Medijana,Q3,Max,Asimetrija
age,92458,40.92,10.79,22.0,32.0,41.0,50.0,59.0,-0.03
years_at_company,92458,5.33,3.31,0.0,3.0,5.0,7.0,30.0,1.08
years_in_current_role,92458,2.67,2.63,0.0,1.0,2.0,4.0,25.0,1.47
years_since_last_promotion,92458,2.67,2.63,0.0,1.0,2.0,4.0,29.0,1.5
team_size,92458,11.01,4.91,3.0,7.0,11.0,15.0,19.0,-0.01
performance_score,92458,70.11,14.72,40.0,59.51,69.99,80.61,100.0,0.02
performance_last_year,92458,68.17,13.88,40.0,58.35,68.04,77.81,100.0,0.07
performance_two_years_ago,92458,65.1,11.79,40.0,56.94,65.01,73.14,100.0,0.09
manager_rating,92458,3.3,0.77,1.0,2.77,3.3,3.84,5.0,-0.04
peer_feedback_score,92458,3.49,0.82,1.0,2.93,3.51,4.09,5.0,-0.16
projects_completed,92458,5.07,2.71,0.0,3.0,5.0,7.0,25.0,0.67
kpi_achievement_percent,92458,69.88,17.1,30.0,57.62,70.1,82.58,100.0,-0.12
innovation_score,92458,67.67,17.66,20.0,55.52,67.99,80.43,100.0,-0.17
leadership_score,92458,58.18,12.26,10.0,49.89,58.21,66.49,100.0,-0.01
problem_solving_score,92458,55.75,12.98,20.0,46.94,55.74,64.58,100.0,0.01
avg_monthly_hours,92458,168.65,19.11,86.22,155.67,169.34,182.58,208.0,-0.26
overtime_hours,92458,17.72,8.8,0.0,11.54,17.56,23.64,57.57,0.18
tasks_completed,92458,35.36,14.78,5.0,24.79,34.02,44.58,123.63,0.52
deadline_adherence_rate,92458,0.82,0.08,0.45,0.77,0.82,0.87,1.0,-0.07
meeting_hours_per_month,92458,25.87,8.08,5.0,20.37,25.83,31.35,70.25,0.03
remote_work_ratio,92458,0.29,0.16,0.0,0.16,0.27,0.39,0.94,0.59
training_hours_last_year,92458,41.71,12.14,0.0,33.59,41.74,49.84,209.5,0.1
certifications_count,92458,2.36,1.56,0.0,1.0,2.0,3.0,10.0,0.68
skill_assessment_score,92458,67.93,13.85,20.0,58.55,67.96,77.43,100.0,-0.07
cross_department_projects,92458,2.0,1.42,0.0,1.0,2.0,3.0,10.0,0.72
mentoring_sessions,92458,3.0,1.73,0.0,2.0,3.0,4.0,13.0,0.58
salary,92458,97477.67,21128.95,29544.63,82596.46,95965.66,110856.67,408865.8,0.54
salary_increase_percent,92458,7.4,2.03,0.0,6.03,7.4,8.77,16.0,0.0
bonus_last_year,92458,10413.74,2312.07,1945.9,8816.65,10415.2,12010.52,19615.46,0.0
stock_options,92458,5657.85,1265.23,934.86,4807.53,5661.62,6508.5,10619.0,-0.01
attendance_rate,92458,0.93,0.05,0.73,0.9,0.93,0.96,1.0,-0.35
late_days,92458,1.99,1.41,0.0,1.0,2.0,3.0,12.0,0.71
employee_engagement_score,92458,69.93,14.71,20.0,59.9,70.03,80.17,100.0,-0.12
job_satisfaction_score,92458,67.9,15.66,20.0,57.19,68.01,78.89,100.0,-0.11
internal_mobility_score,92458,50.05,19.72,0.0,36.61,50.1,63.45,100.0,-0.01
