Atribut,Nije unapredjen,Unapredjen,Razlika,Cohen d
performance_score,69.14,78.914,9.774,0.677
projects_completed,4.907,6.572,1.666,0.625
kpi_achievement_percent,68.89,78.881,9.991,0.593
tasks_completed,34.539,42.811,8.273,0.568
manager_rating,3.262,3.664,0.402,0.532
bonus_last_year,10297.986,11469.403,1171.417,0.513
salary,96453.929,106814.381,10360.452,0.496
peer_feedback_score,3.457,3.833,0.376,0.464
leadership_score,57.645,63.031,5.385,0.443
stock_options,5614.698,6051.413,436.715,0.347
job_satisfaction_score,67.439,72.117,4.679,0.3
overtime_hours,17.476,19.966,2.489,0.284
employee_engagement_score,69.562,73.272,3.71,0.253
performance_last_year,67.903,70.633,2.73,0.197
skill_assessment_score,67.684,70.218,2.535,0.183
avg_monthly_hours,168.34,171.454,3.114,0.163
innovation_score,67.394,70.214,2.82,0.16
performance_two_years_ago,64.918,66.793,1.875,0.159
years_since_last_promotion,2.697,2.401,-0.296,-0.113
problem_solving_score,55.612,57.041,1.429,0.11
salary_increase_percent,7.383,7.576,0.193,0.095
meeting_hours_per_month,25.803,26.468,0.665,0.082
years_at_company,5.355,5.1,-0.255,-0.077
late_days,2.003,1.896,-0.106,-0.075
training_hours_last_year,41.647,42.331,0.684,0.056
years_in_current_role,2.681,2.546,-0.134,-0.051
certifications_count,2.354,2.416,0.062,0.04
attendance_rate,0.928,0.929,0.001,0.028
cross_department_projects,1.994,2.025,0.031,0.022
age,40.94,40.736,-0.204,-0.019
deadline_adherence_rate,0.819,0.82,0.0,0.005
remote_work_ratio,0.286,0.286,-0.001,-0.005
team_size,11.013,11.029,0.017,0.003
mentoring_sessions,2.997,3.003,0.006,0.003
internal_mobility_score,50.051,50.065,0.015,0.001
