Atribut,age,years_at_company,years_in_current_role,years_since_last_promotion,team_size,performance_score,performance_last_year,performance_two_years_ago,manager_rating,peer_feedback_score,projects_completed,kpi_achievement_percent,innovation_score,leadership_score,problem_solving_score,avg_monthly_hours,overtime_hours,tasks_completed,deadline_adherence_rate,meeting_hours_per_month,remote_work_ratio,training_hours_last_year,certifications_count,skill_assessment_score,cross_department_projects,mentoring_sessions,salary,salary_increase_percent,bonus_last_year,stock_options,attendance_rate,late_days,employee_engagement_score,job_satisfaction_score,internal_mobility_score
age,1.0,0.066,0.042,0.044,-0.0,-0.0,0.002,0.003,0.001,-0.002,0.004,-0.001,0.011,0.003,0.006,0.004,-0.001,0.002,0.003,0.003,-0.005,0.002,0.003,0.007,-0.0,0.004,0.026,-0.003,0.002,0.001,-0.006,-0.002,0.001,-0.003,-0.003
years_at_company,0.066,1.0,0.632,0.632,0.003,-0.002,-0.001,0.002,-0.004,-0.001,0.001,0.0,0.003,0.003,0.0,0.002,0.001,0.002,-0.003,-0.0,0.001,0.001,0.0,0.008,0.002,0.003,0.316,-0.003,0.0,0.001,0.001,0.002,-0.0,-0.001,-0.006
years_in_current_role,0.042,0.632,1.0,0.398,0.0,-0.001,-0.0,0.003,-0.002,-0.001,-0.0,-0.001,0.004,0.003,0.003,0.0,-0.0,-0.0,-0.003,0.001,-0.0,0.0,0.003,0.006,-0.001,0.002,0.205,-0.001,0.003,0.001,-0.004,0.0,-0.001,-0.0,-0.006
years_since_last_promotion,0.044,0.632,0.398,1.0,0.0,0.003,0.004,0.005,0.002,0.002,0.004,0.005,0.001,0.003,-0.001,0.004,0.004,0.003,-0.005,-0.001,-0.001,0.001,0.005,0.004,0.002,0.005,0.201,-0.003,0.005,0.001,0.002,-0.0,0.001,0.004,-0.006
team_size,-0.0,0.003,0.0,0.0,1.0,0.0,0.001,-0.001,-0.001,-0.003,0.001,0.001,0.002,0.004,0.001,-0.001,-0.003,0.002,-0.003,0.002,-0.002,-0.002,0.002,0.001,-0.004,-0.005,0.003,0.003,-0.001,0.001,-0.002,0.002,0.002,0.001,0.0
performance_score,-0.0,-0.002,-0.001,0.003,0.0,1.0,0.918,0.761,0.765,0.698,0.003,0.828,0.005,0.358,0.006,-0.005,-0.004,0.002,-0.0,0.059,0.002,-0.001,0.002,0.004,-0.002,0.005,0.1,0.145,0.762,0.28,0.003,0.002,-0.0,0.005,0.003
performance_last_year,0.002,-0.001,-0.0,0.004,0.001,0.918,1.0,0.828,0.702,0.64,0.004,0.759,0.003,0.328,0.006,-0.005,-0.004,0.003,-0.001,0.055,0.001,-0.002,0.002,0.001,-0.002,0.007,0.092,0.134,0.7,0.254,0.004,0.002,0.0,0.006,0.003
performance_two_years_ago,0.003,0.002,0.003,0.005,-0.001,0.761,0.828,1.0,0.581,0.53,0.002,0.627,0.001,0.273,0.005,-0.004,-0.005,0.001,-0.0,0.044,0.0,-0.004,-0.001,0.0,-0.003,0.01,0.077,0.109,0.577,0.211,0.004,0.001,-0.003,0.006,0.002
manager_rating,0.001,-0.004,-0.002,0.002,-0.001,0.765,0.702,0.581,1.0,0.533,0.003,0.636,-0.0,0.271,-0.002,-0.004,-0.005,0.003,-0.003,0.044,0.003,-0.002,-0.001,-0.002,-0.004,0.002,0.079,0.107,0.584,0.212,0.002,0.001,-0.002,0.005,0.0
peer_feedback_score,-0.002,-0.001,-0.001,0.002,-0.003,0.698,0.64,0.53,0.533,1.0,0.004,0.579,0.003,0.252,0.003,0.0,0.003,0.001,-0.0,0.04,0.0,-0.003,0.006,0.004,0.001,0.001,0.07,0.097,0.533,0.194,0.001,0.001,-0.001,0.002,0.004
projects_completed,0.004,0.001,-0.0,0.004,0.001,0.003,0.004,0.002,0.003,0.004,1.0,0.001,0.003,0.008,0.001,0.238,0.455,0.914,0.001,0.004,0.003,-0.001,-0.001,0.004,0.002,-0.003,0.222,0.003,0.003,0.005,-0.003,0.001,0.001,-0.0,0.004
kpi_achievement_percent,-0.001,0.0,-0.001,0.005,0.001,0.828,0.759,0.627,0.636,0.579,0.001,1.0,0.004,0.297,0.004,-0.003,-0.004,-0.001,0.001,0.05,0.002,-0.002,0.002,0.002,-0.001,0.004,0.085,0.123,0.631,0.23,0.002,0.001,0.002,0.005,0.004
innovation_score,0.011,0.003,0.004,0.001,0.002,0.005,0.003,0.001,-0.0,0.003,0.003,0.004,1.0,0.344,0.479,-0.002,-0.002,0.003,-0.002,0.049,-0.003,0.093,0.134,0.754,0.006,0.001,-0.003,0.0,0.002,0.268,-0.001,0.001,0.001,-0.0,0.001
leadership_score,0.003,0.003,0.003,0.003,0.004,0.358,0.328,0.273,0.271,0.252,0.008,0.297,0.344,1.0,0.293,-0.002,0.0,0.008,0.002,0.153,0.001,0.055,0.08,0.456,0.002,0.009,0.038,0.052,0.276,0.775,0.004,0.002,0.002,0.001,0.001
problem_solving_score,0.006,0.0,0.003,-0.001,0.001,0.006,0.006,0.005,-0.002,0.003,0.001,0.004,0.479,0.293,1.0,0.003,0.002,0.004,0.0,0.045,-0.0,0.076,0.117,0.637,0.004,-0.002,-0.003,-0.004,0.006,0.228,-0.003,0.001,0.002,0.001,-0.005
