Atribut,VIF,koren_VIF
performance_score,12.573,3.546
performance_last_year,8.558,2.925
projects_completed,6.441,2.538
tasks_completed,6.05,2.46
skill_assessment_score,3.364,1.834
kpi_achievement_percent,3.187,1.785
performance_two_years_ago,3.181,1.783
leadership_score,3.032,1.741
stock_options,2.506,1.583
years_at_company,2.452,1.566
manager_rating,2.411,1.553
bonus_last_year,2.387,1.545
innovation_score,2.319,1.523
peer_feedback_score,1.951,1.397
problem_solving_score,1.684,1.298
years_in_current_role,1.666,1.291
years_since_last_promotion,1.664,1.29
overtime_hours,1.261,1.123
salary,1.19,1.091
avg_monthly_hours,1.06,1.03
certifications_count,1.034,1.017
meeting_hours_per_month,1.024,1.012
salary_increase_percent,1.022,1.011
training_hours_last_year,1.015,1.008
age,1.005,1.002
mentoring_sessions,1.001,1.0
attendance_rate,1.0,1.0
deadline_adherence_rate,1.0,1.0
internal_mobility_score,1.0,1.0
employee_engagement_score,1.0,1.0
job_satisfaction_score,1.0,1.0
late_days,1.0,1.0
remote_work_ratio,1.0,1.0
cross_department_projects,1.0,1.0
team_size,1.0,1.0
