C,penalty,class_weight,Accuracy,Precision,Recall,F1,ROC-AUC
1.0,l2,balanced,0.776,0.2763,0.7822,0.4083,0.8599
100.0,l1,balanced,0.7761,0.2763,0.7818,0.4083,0.8599
100.0,l2,balanced,0.7761,0.2763,0.7818,0.4083,0.8599
10.0,l1,balanced,0.7761,0.2763,0.7818,0.4082,0.8599
10.0,l2,balanced,0.776,0.2762,0.7818,0.4082,0.8599
1.0,l1,balanced,0.776,0.2762,0.7816,0.4081,0.8599
0.1,l1,balanced,0.7757,0.2759,0.7818,0.4079,0.8599
0.1,l2,balanced,0.775,0.2752,0.7816,0.4071,0.8598
0.01,l1,balanced,0.7724,0.2726,0.7811,0.4042,0.8584
0.01,l2,balanced,0.768,0.268,0.7788,0.3988,0.8558
100.0,l2,,0.9097,0.6185,0.2264,0.3315,0.86
100.0,l1,,0.9097,0.6182,0.2264,0.3314,0.86
10.0,l1,,0.9097,0.6183,0.2263,0.3313,0.86
10.0,l2,,0.9097,0.6187,0.2262,0.3312,0.86
1.0,l1,,0.9098,0.6192,0.2256,0.3307,0.86
1.0,l2,,0.9096,0.6178,0.2238,0.3286,0.8601
0.1,l1,,0.9096,0.6232,0.2162,0.321,0.86
0.1,l2,,0.9095,0.627,0.207,0.3112,0.8599
0.01,l2,,0.9078,0.6609,0.1365,0.2263,0.8521
0.01,l1,,0.908,0.6699,0.1359,0.2259,0.857
