max_depth,min_samples_leaf,class_weight,Accuracy,Precision,Recall,F1,ROC-AUC
20,20,balanced_subsample,0.8807,0.4223,0.5625,0.4823,0.8771
,20,balanced_subsample,0.8809,0.4224,0.5585,0.4809,0.8773
20,50,balanced_subsample,0.8348,0.336,0.6874,0.4513,0.8675
,50,balanced_subsample,0.8346,0.3356,0.6874,0.451,0.8675
10,1,balanced_subsample,0.8327,0.3286,0.6645,0.4397,0.8584
10,20,balanced_subsample,0.8208,0.3155,0.6952,0.434,0.8599
10,50,balanced_subsample,0.8061,0.2996,0.7194,0.423,0.8583
20,1,balanced_subsample,0.9115,0.6858,0.1922,0.3003,0.8774
,1,balanced_subsample,0.9053,0.8486,0.0508,0.0957,0.8817
20,1,,0.9047,0.8538,0.0426,0.081,0.8669
,1,,0.9047,0.8806,0.0415,0.0792,0.8675
,20,,0.9026,0.8991,0.0163,0.032,0.8709
20,20,,0.9025,0.9024,0.0153,0.0301,0.8716
10,1,,0.9019,0.9449,0.0083,0.0165,0.8528
10,20,,0.9018,0.9608,0.0071,0.0141,0.855
,50,,0.9016,0.9378,0.0044,0.0087,0.8634
20,50,,0.9016,0.9378,0.0042,0.0084,0.8635
10,50,,0.9013,0.95,0.0015,0.003,0.8524
