n_estimators,max_depth,learning_rate,scale_pos_weight,Accuracy,Precision,Recall,F1,ROC-AUC
300,7,0.1,9.1199,0.9044,0.5127,0.6652,0.579,0.9244
300,7,0.05,9.1199,0.8869,0.4564,0.757,0.5695,0.9275
300,5,0.3,9.1199,0.9005,0.4973,0.6588,0.5667,0.9165
100,7,0.3,9.1199,0.901,0.4994,0.6477,0.5639,0.9175
300,5,0.1,9.1199,0.875,0.429,0.799,0.5583,0.9289
100,7,0.1,9.1199,0.8755,0.4294,0.789,0.5561,0.9269
100,5,0.3,9.1199,0.8722,0.4215,0.7863,0.5488,0.924
300,7,0.3,9.1199,0.9151,0.5784,0.521,0.5482,0.9179
300,3,0.3,9.1199,0.8649,0.4083,0.8168,0.5444,0.9281
300,5,0.05,9.1199,0.8571,0.395,0.8383,0.537,0.9307
300,3,0.3,1.0,0.9246,0.684,0.4404,0.5358,0.9298
100,7,0.05,9.1199,0.8537,0.3874,0.826,0.5274,0.9251
300,3,0.1,9.1199,0.846,0.3778,0.8626,0.5255,0.9326
300,5,0.1,1.0,0.9253,0.7062,0.4183,0.5253,0.9303
100,3,0.3,9.1199,0.8455,0.3767,0.8598,0.5238,0.9311
100,5,0.1,9.1199,0.8462,0.3768,0.8506,0.5223,0.9284
100,5,0.3,1.0,0.9234,0.6803,0.4235,0.522,0.9258
300,7,0.1,1.0,0.9243,0.7034,0.405,0.514,0.9271
300,5,0.3,1.0,0.9206,0.6513,0.4235,0.5132,0.919
300,7,0.05,1.0,0.9251,0.7189,0.3969,0.5114,0.9303
100,7,0.3,1.0,0.9223,0.6762,0.4105,0.5108,0.9195
300,7,0.3,1.0,0.9222,0.6758,0.4081,0.5089,0.919
100,3,0.3,1.0,0.9249,0.7239,0.3882,0.5053,0.9316
300,3,0.05,9.1199,0.8303,0.3544,0.8726,0.5041,0.928
300,3,0.1,1.0,0.9257,0.7522,0.37,0.4959,0.9332
100,7,0.1,1.0,0.9238,0.7206,0.3742,0.4925,0.9292
300,5,0.05,1.0,0.9249,0.7407,0.3687,0.4923,0.9319
100,5,0.05,9.1199,0.823,0.3427,0.8617,0.4904,0.9215
100,3,0.1,9.1199,0.8177,0.3366,0.8699,0.4854,0.921
100,5,0.1,1.0,0.923,0.7591,0.3229,0.453,0.929
100,3,0.05,9.1199,0.782,0.2922,0.8479,0.4347,0.8956
100,7,0.05,1.0,0.9219,0.7735,0.2966,0.4288,0.927
300,3,0.05,1.0,0.9199,0.8227,0.2418,0.3737,0.928
100,5,0.05,1.0,0.916,0.85,0.1828,0.3008,0.9222
100,3,0.1,1.0,0.9144,0.8559,0.1614,0.2716,0.9201
100,3,0.05,1.0,0.9041,0.92,0.0319,0.0616,0.8987
