Model A,Model B,"A tacan, B gresi","A gresi, B tacan",Neslaganja,hi-kvadrat,p-vrednost,Znacajno
LR osnovni,LR balansirani,3507,1004,4511,1387.72,9.79381393459453e-304,da
LR osnovni,LR podeseni,3509,1004,4513,1389.32,4.3904347840137215e-304,da
LR osnovni,RF osnovni,364,244,608,23.29,1.3924150665605567e-06,da
LR osnovni,RF balansirani,358,246,604,20.4,6.2862417909986606e-06,da
LR osnovni,RF podeseni,1175,700,1875,119.83,6.901838944533081e-28,da
LR osnovni,XGB osnovni,398,597,995,39.4,3.4511929545829043e-10,da
LR osnovni,XGB balansirani,1512,1037,2549,88.14,6.089559858891373e-21,da
LR osnovni,XGB podeseni,1125,955,2080,13.73,0.00021091575751348387,da
LR balansirani,LR podeseni,5,3,8,0.12,0.7236736098317629,ne
LR balansirani,RF osnovni,1347,3730,5077,1117.57,5.00344563683842e-245,da
LR balansirani,RF balansirani,1341,3732,5073,1125.98,7.450600388694171e-247,da
LR balansirani,RF podeseni,592,2620,3212,1279.18,3.7803808416682493e-280,da
LR balansirani,XGB osnovni,758,3460,4218,1729.59,0.0,da
LR balansirani,XGB balansirani,696,2724,3420,1201.38,3.0534404009293702e-263,da
LR balansirani,XGB podeseni,540,2873,3413,1593.39,0.0,da
LR podeseni,RF osnovni,1347,3732,5079,1119.01,2.437931972829592e-245,da
LR podeseni,RF balansirani,1341,3734,5075,1127.42,3.6228407876788626e-247,da
LR podeseni,RF podeseni,592,2622,3214,1280.91,1.5922924506390824e-280,da
LR podeseni,XGB osnovni,758,3462,4220,1731.33,0.0,da
LR podeseni,XGB balansirani,695,2725,3420,1203.75,9.31759525837698e-264,da
LR podeseni,XGB podeseni,540,2875,3415,1595.18,0.0,da
RF osnovni,RF balansirani,63,71,134,0.37,0.5453730994899382,ne
RF osnovni,RF podeseni,1300,945,2245,55.82,7.941766372034569e-14,da
RF osnovni,XGB osnovni,355,674,1029,98.27,3.6430842205797523e-23,da
RF osnovni,XGB balansirani,1632,1277,2909,43.08,5.258102756360405e-11,da
RF osnovni,XGB podeseni,1219,1169,2388,1.01,0.31599682258070416,ne
RF balansirani,RF podeseni,1302,939,2241,58.48,2.0581943728193203e-14,da
RF balansirani,XGB osnovni,357,668,1025,93.76,3.5690093765558526e-22,da
RF balansirani,XGB balansirani,1631,1268,2899,45.2,1.776170330601173e-11,da
RF balansirani,XGB podeseni,1220,1162,2382,1.36,0.2428489281739789,ne
RF podeseni,XGB osnovni,478,1152,1630,277.87,2.185978766768097e-62,da
RF podeseni,XGB balansirani,943,943,1886,0.0,0.9816290827962815,ne
RF podeseni,XGB podeseni,608,913,1521,60.76,6.447390569661851e-15,da
XGB osnovni,XGB balansirani,1309,635,1944,232.99,1.3295071750693452e-52,da
XGB osnovni,XGB podeseni,911,542,1453,93.2,4.719584841303835e-22,da
XGB balansirani,XGB podeseni,328,633,961,96.17,1.056173371982922e-22,da
