Model A,Model B,Razlika F1,Donja granica,Gornja granica,Znacajno
LR osnovni,LR balansirani,-0.0601,-0.0853,-0.0335,da
LR osnovni,LR podeseni,-0.06,-0.085,-0.0333,da
LR osnovni,RF osnovni,0.2489,0.225,0.2743,da
LR osnovni,RF balansirani,0.243,0.2188,0.2684,da
LR osnovni,RF podeseni,-0.1465,-0.1704,-0.1225,da
LR osnovni,XGB osnovni,-0.164,-0.1881,-0.138,da
LR osnovni,XGB balansirani,-0.2141,-0.2379,-0.1877,da
LR osnovni,XGB podeseni,-0.2327,-0.2568,-0.2076,da
LR balansirani,LR podeseni,0.0001,-0.0002,0.0005,ne
LR balansirani,RF osnovni,0.309,0.2835,0.3321,da
LR balansirani,RF balansirani,0.3031,0.2786,0.3263,da
LR balansirani,RF podeseni,-0.0864,-0.1022,-0.071,da
LR balansirani,XGB osnovni,-0.1039,-0.1256,-0.0822,da
LR balansirani,XGB balansirani,-0.154,-0.1668,-0.1417,da
LR balansirani,XGB podeseni,-0.1726,-0.187,-0.1579,da
LR podeseni,RF osnovni,0.3089,0.2835,0.3319,da
LR podeseni,RF balansirani,0.303,0.2786,0.3261,da
LR podeseni,RF podeseni,-0.0865,-0.1024,-0.0708,da
LR podeseni,XGB osnovni,-0.104,-0.1258,-0.0823,da
LR podeseni,XGB balansirani,-0.1541,-0.1669,-0.1419,da
LR podeseni,XGB podeseni,-0.1727,-0.1873,-0.1579,da
RF osnovni,RF balansirani,-0.0059,-0.0264,0.0146,ne
RF osnovni,RF podeseni,-0.3954,-0.4199,-0.37,da
RF osnovni,XGB osnovni,-0.4129,-0.437,-0.389,da
RF osnovni,XGB balansirani,-0.463,-0.4864,-0.437,da
RF osnovni,XGB podeseni,-0.4816,-0.5054,-0.455,da
RF balansirani,RF podeseni,-0.3895,-0.4135,-0.364,da
RF balansirani,XGB osnovni,-0.407,-0.4314,-0.3826,da
RF balansirani,XGB balansirani,-0.4571,-0.4814,-0.4315,da
RF balansirani,XGB podeseni,-0.4757,-0.5004,-0.4505,da
RF podeseni,XGB osnovni,-0.0175,-0.0387,0.0034,ne
RF podeseni,XGB balansirani,-0.0676,-0.084,-0.0511,da
RF podeseni,XGB podeseni,-0.0862,-0.1017,-0.0702,da
XGB osnovni,XGB balansirani,-0.0501,-0.072,-0.0302,da
XGB osnovni,XGB podeseni,-0.0687,-0.088,-0.0486,da
XGB balansirani,XGB podeseni,-0.0186,-0.0304,-0.0076,da
