Atribut,LR podeseni,RF podeseni,XGB podeseni
age,0.0002,-0.0008,-0.0014
attendance_rate,-0.0001,0.001,-0.0039
avg_monthly_hours,0.0004,-0.0001,-0.0011
bonus_last_year,0.0036,-0.0023,0.0004
certifications_count,-0.0003,0.0006,-0.0016
city_tier,-0.0003,-0.0001,-0.0004
cross_department_projects,0.0002,-0.0014,-0.0014
deadline_adherence_rate,0.0003,-0.0006,0.0005
department,0.1356,0.1144,0.2169
education_level,0.0003,-0.0009,-0.0015
employee_engagement_score,0.013,0.0076,0.0217
employment_type,0.0011,-0.0001,-0.0
gender,0.0002,0.0002,0.0011
innovation_score,0.0013,-0.0011,0.0003
internal_mobility_score,0.0003,-0.0007,-0.0001
job_satisfaction_score,0.0157,0.0131,0.0285
kpi_achievement_percent,0.0296,0.0043,0.0009
late_days,0.0008,0.0001,0.0031
leadership_score,0.0079,0.0032,0.0028
manager_rating,0.0069,-0.0041,0.0038
marital_status,-0.0,0.0002,0.0009
meeting_hours_per_month,-0.0,-0.0008,0.0009
mentoring_sessions,-0.0001,-0.0,-0.0005
overtime_hours,-0.0001,-0.0003,-0.0002
peer_feedback_score,0.0009,-0.0061,0.0012
performance_last_year,,0.1196,0.2671
performance_score,,0.189,0.3661
performance_two_years_ago,0.059,0.0179,-0.0002
problem_solving_score,0.0006,-0.0012,0.0002
projects_completed,,0.0141,0.0015
remote_work_ratio,-0.0007,-0.0011,-0.0001
salary,-0.0007,0.0049,-0.0036
salary_increase_percent,0.0,-0.001,-0.0024
skill_assessment_score,-0.0001,-0.0009,0.001
stock_options,-0.0001,-0.0003,0.002
tasks_completed,0.0012,0.0043,-0.0026
team_size,0.0001,-0.0012,-0.0006
training_hours_last_year,0.0007,0.0001,0.003
years_at_company,-0.0,-0.0,-0.0014
years_in_current_role,0.0006,0.0008,-0.0005
years_since_last_promotion,0.0029,0.0002,-0.0005
